prop_name,monthly_rent,location,property_type,rooms,parking,bathroom,size,district
Platinum Teratai Residence,1800,Kuala Lumpur - Setapak,Apartment,3.0,1.0,2.0,930 sq.ft.,Kuala Lumpur
Residensi Gombak 126,1180,Kuala Lumpur - Setapak,Service Residence,2.0,1.0,2.0,558 sq.ft.,Kuala Lumpur
The Pearl (Pearl Point),1200,Kuala Lumpur - Old Klang Road,Condominium,2.0,1.0,2.0,840 sq.ft.,Kuala Lumpur
Pangsapuri Cemara (Cheras),1200,Kuala Lumpur - Cheras,Apartment,3.0,,2.0,740 sq.ft.,Kuala Lumpur
Ativo Suites @ Damansara Avenue,2200,Kuala Lumpur - Sri Damansara,Condominium,1.0,1.0,1.0,499 sq.ft.,Kuala Lumpur
Kenari Apartment (Taman Melati),1650,Kuala Lumpur - Setapak,Apartment,3.0,1.0,2.0,850 sq.ft.,Kuala Lumpur
Majestic Maxim,1300,Kuala Lumpur - Cheras,Service Residence,2.0,1.0,2.0,650 sq.ft.,Kuala Lumpur
Southbank Residence,2450,Kuala Lumpur - Old Klang Road,Service Residence,2.0,1.0,2.0,780 sq.ft.,Kuala Lumpur
Prisma Cheras,1400,Kuala Lumpur - Cheras,Condominium,3.0,,2.0,1152 sq.ft.,Kuala Lumpur
KL Traders Square condo Jalan Gombak,1700,Kuala Lumpur - Setapak,Condominium,3.0,2.0,2.0,950 sq.ft.,Kuala Lumpur
Platinum Lake PV10,1650,Kuala Lumpur - Setapak,Condominium,4.0,1.0,2.0,1272 sq.ft.,Kuala Lumpur
Platinum Hill PV 5,1600,Kuala Lumpur - Setapak,Condominium,4.0,1.0,2.0,1272 sq.ft.,Kuala Lumpur
PV 9 RESIDENSI,2300,Kuala Lumpur - Setapak,Condominium,3.0,2.0,2.0,1000 sq.ft.,Kuala Lumpur
Arte Plus Jalan Ampang,1550,Kuala Lumpur - Ampang,Service Residence,1.0,1.0,1.0,679 sq.ft.,Kuala Lumpur
"SkyAwani 3 Residence, Setapak",1300,Kuala Lumpur - Setapak,Condominium,3.0,,2.0,800 sq.ft.,Kuala Lumpur
Prisma Cheras,1250,Kuala Lumpur - Cheras,Condominium,4.0,1.0,2.0,1238 sq.ft.,Kuala Lumpur
The Scott Soho,1300,Kuala Lumpur - Old Klang Road,Service Residence,1.0,1.0,2.0,775 sq.ft.,Kuala Lumpur
Residensi Rampai,1850,Kuala Lumpur - Setapak,Condominium,3.0,2.0,2.0,850 sq.ft.,Kuala Lumpur
Majestic Maxim,1400,Kuala Lumpur - Cheras,Service Residence,2.0,1.0,2.0,670 sq.ft.,Kuala Lumpur
"Vista Wirajaya 2 Partly Furnished, PV9 Setapak Melati Near LRT, TARC",1600,Kuala Lumpur - Setapak,Apartment,3.0,,2.0,850 sq.ft.,Kuala Lumpur
Majestic Maxim,1600,Kuala Lumpur - Cheras,Service Residence,3.0,1.0,2.0,819 sq.ft.,Kuala Lumpur
Queensville,1300,Kuala Lumpur - Cheras,Condominium,1.0,2.0,1.0,526 sq.ft.,Kuala Lumpur
Kenwingston Platz,2500,Kuala Lumpur - Setapak,Service Residence,3.0,2.0,2.0,808 sq.ft.,Kuala Lumpur
Desa Aman Flat (Cheras),700,Kuala Lumpur - Cheras,Flat,2.0,1.0,1.0,665 sq.ft.,Kuala Lumpur
Majestic Maxim,1400,Kuala Lumpur - Cheras,Service Residence,2.0,1.0,2.0,650 sq.ft.,Kuala Lumpur
Putra Villa,1800,Kuala Lumpur - Setapak,Condominium,3.0,,2.0,1076 sq.ft.,Kuala Lumpur
The Holmes 2,1300,Kuala Lumpur - Cheras,Condominium,3.0,2.0,2.0,943 sq.ft.,Kuala Lumpur
Majestic Maxim,1600,Kuala Lumpur - Cheras,Service Residence,3.0,1.0,2.0,819 sq.ft.,Kuala Lumpur
Sky Awani Residensi 4,1300,Kuala Lumpur - Setapak,Condominium,3.0,1.0,2.0,800 sq.ft.,Kuala Lumpur
Sky Awani Residensi 4,1600,Kuala Lumpur - Setapak,Condominium,3.0,1.0,2.0,800 sq.ft.,Kuala Lumpur
Parc 3,2700,Kuala Lumpur - Cheras,Service Residence,2.0,1.0,2.0,736 sq.ft.,Kuala Lumpur
UNA Serviced Apartment @ Peel,2800,Kuala Lumpur - Cheras,Service Residence,2.0,1.0,1.0,807 sq.ft.,Kuala Lumpur
EkoCheras Service Apartment,2350,Kuala Lumpur - Cheras,Service Residence,2.0,1.0,2.0,1168 sq.ft.,Kuala Lumpur
8 Kinrara,2700,Kuala Lumpur - Puchong,Service Residence,3.0,2.0,2.0,1096 sq.ft.,Kuala Lumpur
V Residence Suites,2800,Kuala Lumpur - Cheras,Service Residence,1.0,1.0,1.0,650 sq.ft.,Kuala Lumpur
